H	col	frontier_in	frontier_out	wall_s	cpu_s	eff_cores	util_pct	rss_max_mb	map_wall_s	merge_wall_s	merge_frac	map_units	merge_ranges
4	0	1	9	0.00	0.0	0.00	0.0	9.5	0.00	0.00	-	-	-
4	1	9	22	0.01	0.0	0.00	0.0	9.5	0.01	0.00	0.000	-	-
4	2	22	22	0.02	0.0	0.00	0.0	9.5	0.01	0.01	0.500	-	-
4	3	22	22	0.02	0.0	0.00	0.0	9.5	0.01	0.01	0.500	-	-
4	4	22	22	0.02	0.0	0.00	0.0	9.5	0.01	0.01	0.500	-	-
4	5	22	22	0.01	0.0	0.00	0.0	9.9	0.01	0.01	1.000	-	-
4	6	22	22	0.02	0.0	0.00	0.0	10.1	0.01	0.01	0.500	-	-
4	7	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	8	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	9	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	10	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	11	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	12	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	13	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	14	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	15	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	16	22	22	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
4	17	22	13	0.01	0.0	0.00	0.0	10.5	0.01	0.00	0.000	-	-
4	18	13	6	0.01	0.0	0.00	0.0	10.5	0.00	0.00	0.000	-	-
4	19	6	2	0.01	0.0	0.00	0.0	10.5	0.01	0.00	0.000	-	-
4	20	2	0	0.00	0.0	0.00	0.0	10.5	0.00	0.00	-	-	-
5	0	1	19	0.00	0.0	0.00	0.0	10.5	0.00	0.00	-	-	-
5	1	19	56	0.01	0.0	0.00	0.0	10.5	0.01	0.01	1.000	-	-
5	2	56	57	0.04	0.2	5.00	16.7	10.5	0.01	0.03	0.750	-	-
5	3	57	57	0.03	0.2	6.67	22.2	10.5	0.01	0.02	0.667	-	-
5	4	57	57	0.04	0.2	5.00	16.7	10.6	0.02	0.02	0.500	-	-
5	5	57	57	0.03	0.2	6.67	22.2	10.8	0.01	0.02	0.667	-	-
5	6	57	57	0.03	0.2	6.67	22.2	10.8	0.01	0.02	0.667	-	-
5	7	57	57	0.03	0.2	6.67	22.2	10.9	0.02	0.01	0.333	-	-
5	8	57	57	0.03	0.2	6.67	22.2	10.9	0.01	0.02	0.667	-	-
5	9	57	57	0.03	0.2	6.67	22.2	10.9	0.02	0.02	0.667	-	-
5	10	57	57	0.03	0.2	6.67	22.2	10.9	0.01	0.02	0.667	-	-
5	11	57	57	0.03	0.2	6.67	22.2	10.9	0.01	0.02	0.667	-	-
5	12	57	57	0.03	0.2	6.67	22.2	10.9	0.02	0.02	0.667	-	-
5	13	57	57	0.03	0.2	6.67	22.2	10.9	0.02	0.02	0.667	-	-
5	14	57	57	0.03	0.2	6.67	22.2	10.9	0.01	0.02	0.667	-	-
5	15	57	57	0.03	0.2	6.67	22.2	11.2	0.01	0.02	0.667	-	-
5	16	57	37	0.02	0.1	5.00	16.7	11.2	0.01	0.01	0.500	-	-
5	17	37	19	0.02	0.1	5.00	16.7	11.2	0.01	0.01	0.500	-	-
5	18	19	8	0.01	0.0	0.00	0.0	11.2	0.01	0.00	0.000	-	-
5	19	8	3	0.01	0.0	0.00	0.0	11.2	0.00	0.00	0.000	-	-
5	20	3	0	0.00	0.0	0.00	0.0	11.2	0.00	0.00	-	-	-
6	0	1	35	0.00	0.0	0.00	0.0	11.2	0.00	0.00	-	-	-
6	1	35	126	0.02	0.0	0.00	0.0	11.2	0.01	0.01	0.500	-	-
6	2	126	131	0.08	1.0	12.50	41.7	11.3	0.02	0.06	0.750	-	-
6	3	131	131	0.09	1.0	11.11	37.0	11.3	0.03	0.06	0.667	-	-
6	4	131	131	0.08	0.9	11.25	37.5	11.8	0.03	0.05	0.625	-	-
6	5	131	131	0.09	1.0	11.11	37.0	11.8	0.04	0.06	0.667	-	-
6	6	131	131	0.09	1.1	12.22	40.7	11.9	0.03	0.06	0.667	-	-
6	7	131	131	0.08	1.0	12.50	41.7	11.9	0.03	0.05	0.625	-	-
6	8	131	131	0.09	1.1	12.22	40.7	11.9	0.03	0.06	0.667	-	-
6	9	131	131	0.08	1.0	12.50	41.7	11.9	0.03	0.05	0.625	-	-
6	10	131	131	0.08	0.9	11.25	37.5	12.2	0.03	0.05	0.625	-	-
6	11	131	131	0.08	0.9	11.25	37.5	12.2	0.03	0.05	0.625	-	-
6	12	131	131	0.09	1.2	13.33	44.4	12.2	0.03	0.06	0.667	-	-
6	13	131	131	0.08	1.2	15.00	50.0	12.2	0.03	0.06	0.750	-	-
6	14	131	130	0.08	1.0	12.50	41.7	12.2	0.03	0.05	0.625	-	-
6	15	130	93	0.06	0.8	13.33	44.4	12.2	0.03	0.04	0.667	-	-
6	16	93	48	0.04	0.3	7.50	25.0	12.2	0.02	0.02	0.500	-	-
6	17	48	22	0.02	0.1	5.00	16.7	12.2	0.01	0.01	0.500	-	-
6	18	22	9	0.01	0.0	0.00	0.0	12.2	0.01	0.00	0.000	-	-
6	19	9	3	0.01	0.0	0.00	0.0	12.2	0.00	0.00	0.000	-	-
6	20	3	0	0.00	0.0	0.00	0.0	12.2	0.00	0.00	-	-	-
7	0	1	71	0.00	0.0	0.00	0.0	12.2	0.00	0.00	-	-	-
7	1	71	307	0.04	0.3	7.50	25.0	12.2	0.01	0.03	0.750	-	-
7	2	307	334	0.10	0.8	8.00	26.7	12.2	0.02	0.08	0.800	-	-
7	3	334	335	0.11	1.0	9.09	30.3	12.2	0.03	0.08	0.727	-	-
7	4	335	335	0.12	1.3	10.83	36.1	12.2	0.03	0.09	0.750	-	-
7	5	335	335	0.11	1.1	10.00	33.3	12.2	0.03	0.08	0.727	-	-
7	6	335	335	0.11	1.0	9.09	30.3	12.2	0.03	0.08	0.727	-	-
7	7	335	335	0.12	1.1	9.17	30.6	12.2	0.03	0.09	0.750	-	-
7	8	335	335	0.12	1.2	10.00	33.3	12.2	0.03	0.09	0.750	-	-
7	9	335	335	0.11	1.1	10.00	33.3	12.2	0.03	0.08	0.727	-	-
7	10	335	335	0.10	0.8	8.00	26.7	12.2	0.03	0.07	0.700	-	-
7	11	335	335	0.11	0.9	8.18	27.3	12.4	0.03	0.07	0.636	-	-
7	12	335	335	0.10	1.0	10.00	33.3	12.3	0.03	0.07	0.700	-	-
7	13	335	331	0.10	1.1	11.00	36.7	12.3	0.03	0.07	0.700	-	-
7	14	331	249	0.08	1.1	13.75	45.8	12.3	0.03	0.05	0.625	-	-
7	15	249	133	0.08	1.1	13.75	45.8	12.3	0.03	0.05	0.625	-	-
7	16	133	62	0.05	0.5	10.00	33.3	12.5	0.03	0.02	0.400	-	-
7	17	62	28	0.02	0.1	5.00	16.7	12.5	0.01	0.01	0.500	-	-
7	18	28	11	0.01	0.0	0.00	0.0	12.5	0.01	0.00	0.000	-	-
7	19	11	4	0.01	0.0	0.00	0.0	12.5	0.00	0.00	0.000	-	-
7	20	4	0	0.00	0.0	0.00	0.0	12.5	0.00	0.00	-	-	-
8	0	1	135	0.00	0.0	0.00	0.0	12.5	0.00	0.00	-	-	-
8	1	135	715	0.10	0.9	9.00	30.0	12.5	0.02	0.08	0.800	-	-
8	2	715	819	0.17	1.1	6.47	21.6	12.5	0.04	0.13	0.765	-	-
8	3	819	825	0.18	1.3	7.22	24.1	12.5	0.04	0.13	0.722	-	-
8	4	825	825	0.19	1.2	6.32	21.1	12.5	0.04	0.15	0.789	-	-
8	5	825	825	0.18	1.2	6.67	22.2	12.5	0.04	0.14	0.778	-	-
8	6	825	825	0.18	1.3	7.22	24.1	12.5	0.04	0.14	0.778	-	-
8	7	825	825	0.18	1.3	7.22	24.1	12.5	0.04	0.14	0.778	-	-
8	8	825	825	0.18	1.3	7.22	24.1	12.5	0.04	0.14	0.778	-	-
8	9	825	825	0.17	1.0	5.88	19.6	12.5	0.04	0.13	0.765	-	-
8	10	825	825	0.17	1.2	7.06	23.5	12.5	0.04	0.13	0.765	-	-
8	11	825	822	0.14	1.3	9.29	31.0	12.5	0.03	0.11	0.786	-	-
8	12	822	810	0.12	1.0	8.33	27.8	12.5	0.03	0.09	0.750	-	-
8	13	810	638	0.10	1.0	10.00	33.3	12.5	0.03	0.07	0.700	-	-
8	14	638	344	0.09	1.1	12.22	40.7	12.5	0.03	0.06	0.667	-	-
8	15	344	165	0.07	1.0	14.29	47.6	12.5	0.03	0.05	0.714	-	-
8	16	165	73	0.06	0.7	11.67	38.9	12.6	0.03	0.03	0.500	-	-
8	17	73	31	0.03	0.1	3.33	11.1	12.6	0.02	0.01	0.333	-	-
8	18	31	12	0.01	0.0	0.00	0.0	12.6	0.01	0.00	0.000	-	-
8	19	12	4	0.01	0.0	0.00	0.0	12.6	0.00	0.00	0.000	-	-
8	20	4	0	0.00	0.0	0.00	0.0	12.6	0.00	0.00	-	-	-
