# H=8 states=834 residuals=241 budget_B=660.9 working_r=204 d_2=92 sweep_pmax=1318 nsmall=214 nbig=3 build=7.1s shard=0/1
2 112   (1.6s)
3 201   (3.2s)
5 204   (3.2s)
7 204   (3.3s)
11 204   (3.2s)
13 204   (3.2s)
17 204   (3.2s)
19 204   (3.2s)
23 204   (3.2s)
29 204   (3.3s)
31 204   (3.2s)
37 204   (3.2s)
41 204   (3.2s)
43 204   (3.2s)
47 204   (3.2s)
53 204   (3.2s)
59 204   (3.2s)
61 204   (3.2s)
67 204   (3.2s)
71 204   (3.2s)
73 204   (3.2s)
79 204   (3.2s)
83 204   (3.2s)
89 204   (3.2s)
97 204   (3.2s)
101 204   (3.2s)
103 204   (3.2s)
107 204   (3.2s)
109 204   (3.2s)
113 204   (3.2s)
127 204   (3.2s)
131 204   (3.2s)
137 204   (3.2s)
139 204   (3.2s)
149 204   (3.2s)
151 204   (3.2s)
157 204   (3.2s)
163 204   (3.2s)
167 204   (3.2s)
173 204   (3.2s)
179 204   (3.2s)
181 204   (3.2s)
191 204   (3.2s)
193 204   (3.2s)
197 204   (3.2s)
199 204   (3.2s)
211 204   (3.2s)
223 204   (3.2s)
227 204   (3.2s)
229 204   (3.2s)
233 204   (3.2s)
239 204   (3.2s)
241 204   (3.3s)
251 204   (3.2s)
257 204   (3.2s)
263 204   (3.2s)
269 204   (3.2s)
271 204   (3.2s)
277 204   (3.3s)
281 204   (3.3s)
283 204   (3.3s)
293 204   (3.3s)
307 204   (3.3s)
311 204   (3.3s)
313 204   (3.2s)
317 204   (3.3s)
331 204   (3.2s)
337 204   (3.3s)
347 204   (3.3s)
349 204   (3.2s)
353 204   (3.2s)
359 204   (3.3s)
367 204   (3.3s)
373 204   (3.3s)
379 204   (3.3s)
383 204   (3.3s)
389 204   (3.3s)
397 204   (3.2s)
401 204   (3.2s)
409 204   (3.2s)
419 204   (3.3s)
421 204   (3.3s)
431 204   (3.3s)
433 204   (3.2s)
439 204   (3.2s)
443 204   (3.2s)
449 204   (3.2s)
457 204   (3.2s)
461 204   (3.2s)
463 204   (3.3s)
467 204   (3.2s)
479 204   (3.2s)
487 204   (3.2s)
491 204   (3.2s)
499 204   (3.2s)
503 204   (3.2s)
509 204   (3.2s)
521 204   (3.2s)
523 204   (3.2s)
541 204   (3.2s)
547 204   (3.2s)
557 204   (3.2s)
563 204   (3.2s)
569 204   (3.2s)
571 204   (3.2s)
577 204   (3.2s)
587 204   (3.2s)
593 204   (3.2s)
599 204   (3.3s)
601 204   (3.2s)
607 204   (3.2s)
613 204   (3.2s)
617 204   (3.2s)
619 204   (3.2s)
631 204   (3.2s)
641 204   (3.2s)
643 204   (3.2s)
647 204   (3.2s)
653 204   (3.2s)
659 204   (3.2s)
661 204   (3.2s)
673 204   (3.2s)
677 204   (3.2s)
683 204   (3.2s)
691 204   (3.2s)
701 204   (3.2s)
709 204   (3.2s)
719 204   (3.2s)
727 204   (3.2s)
733 204   (3.2s)
739 204   (3.2s)
743 204   (3.3s)
751 204   (3.2s)
757 204   (3.2s)
761 204   (3.2s)
769 204   (3.2s)
773 204   (3.2s)
787 204   (3.2s)
797 204   (3.2s)
809 204   (3.2s)
811 204   (3.2s)
821 204   (3.2s)
823 204   (3.2s)
827 204   (3.2s)
829 204   (3.2s)
839 204   (3.2s)
853 204   (3.2s)
857 204   (3.2s)
859 204   (3.2s)
863 204   (3.2s)
877 204   (3.2s)
881 204   (3.2s)
883 204   (3.2s)
887 204   (3.2s)
907 204   (3.2s)
911 204   (3.2s)
919 204   (3.2s)
929 204   (3.2s)
937 204   (3.2s)
941 204   (3.2s)
947 204   (3.2s)
953 204   (3.2s)
967 204   (3.2s)
971 204   (3.3s)
977 204   (3.2s)
983 204   (3.3s)
991 204   (3.2s)
997 204   (3.2s)
1009 204   (3.2s)
1013 204   (3.2s)
1019 204   (3.2s)
1021 204   (3.2s)
1031 204   (3.2s)
1033 204   (3.2s)
1039 204   (3.2s)
1049 204   (3.2s)
1051 204   (3.2s)
1061 204   (3.2s)
1063 204   (3.2s)
1069 204   (3.2s)
1087 204   (3.2s)
1091 204   (3.2s)
1093 204   (3.3s)
1097 204   (3.2s)
1103 204   (3.2s)
1109 204   (3.2s)
1117 204   (3.2s)
1123 204   (3.3s)
1129 204   (3.2s)
1151 204   (3.2s)
1153 204   (3.2s)
1163 204   (3.2s)
1171 204   (3.2s)
1181 204   (3.2s)
1187 204   (3.2s)
1193 204   (3.2s)
1201 204   (3.2s)
1213 204   (3.2s)
1217 204   (3.2s)
1223 204   (3.2s)
1229 204   (3.2s)
1231 204   (3.2s)
1237 204   (3.2s)
1249 204   (3.2s)
1259 204   (3.2s)
1277 204   (3.2s)
1279 204   (3.2s)
1283 204   (3.2s)
1289 204   (3.2s)
1291 204   (3.2s)
1297 204   (3.2s)
1301 204   (3.2s)
1303 204   (3.2s)
1307 204   (3.2s)
2147483647 204   (3.3s)
2147483629 204   (3.3s)
2147483587 204   (3.3s)
