# H=7 states=322 residuals=103 budget_B=238.7 working_r=88 d_2=30 sweep_pmax=2853 nsmall=414 nbig=3 build=0.8s shard=0/1
2 58   (0.2s)
3 87   (0.3s)
5 88   (0.3s)
7 88   (0.3s)
11 88   (0.3s)
13 88   (0.3s)
17 88   (0.3s)
19 88   (0.3s)
23 88   (0.3s)
29 88   (0.3s)
31 88   (0.3s)
37 88   (0.3s)
41 88   (0.3s)
43 88   (0.3s)
47 88   (0.3s)
53 88   (0.3s)
59 88   (0.3s)
61 88   (0.3s)
67 88   (0.3s)
71 88   (0.3s)
73 88   (0.3s)
79 88   (0.3s)
83 88   (0.3s)
89 88   (0.3s)
97 88   (0.3s)
101 88   (0.3s)
103 88   (0.3s)
107 88   (0.3s)
109 88   (0.3s)
113 88   (0.3s)
127 88   (0.3s)
131 88   (0.3s)
137 88   (0.3s)
139 88   (0.3s)
149 88   (0.3s)
151 88   (0.3s)
157 88   (0.3s)
163 88   (0.3s)
167 88   (0.3s)
173 88   (0.3s)
179 88   (0.3s)
181 88   (0.3s)
191 88   (0.3s)
193 88   (0.3s)
197 88   (0.3s)
199 88   (0.3s)
211 88   (0.3s)
223 88   (0.3s)
227 88   (0.3s)
229 88   (0.3s)
233 88   (0.3s)
239 88   (0.3s)
241 88   (0.3s)
251 88   (0.3s)
257 88   (0.3s)
263 88   (0.3s)
269 88   (0.3s)
271 88   (0.3s)
277 88   (0.3s)
281 88   (0.3s)
283 88   (0.3s)
293 88   (0.3s)
307 88   (0.3s)
311 88   (0.3s)
313 88   (0.3s)
317 88   (0.3s)
331 88   (0.3s)
337 88   (0.3s)
347 88   (0.3s)
349 88   (0.3s)
353 88   (0.3s)
359 88   (0.3s)
367 88   (0.3s)
373 88   (0.3s)
379 88   (0.3s)
383 88   (0.3s)
389 88   (0.3s)
397 88   (0.3s)
401 88   (0.3s)
409 88   (0.3s)
419 88   (0.3s)
421 88   (0.3s)
431 88   (0.3s)
433 88   (0.3s)
439 88   (0.3s)
443 88   (0.3s)
449 88   (0.3s)
457 88   (0.3s)
461 88   (0.3s)
463 88   (0.3s)
467 88   (0.3s)
479 88   (0.3s)
487 88   (0.3s)
491 88   (0.3s)
499 88   (0.3s)
503 88   (0.3s)
509 88   (0.3s)
521 88   (0.3s)
523 88   (0.3s)
541 88   (0.3s)
547 88   (0.3s)
557 88   (0.3s)
563 88   (0.3s)
569 88   (0.3s)
571 88   (0.3s)
577 88   (0.3s)
587 88   (0.3s)
593 88   (0.3s)
599 88   (0.3s)
601 88   (0.3s)
607 88   (0.3s)
613 88   (0.3s)
617 88   (0.3s)
619 88   (0.3s)
631 88   (0.3s)
641 88   (0.3s)
643 88   (0.3s)
647 88   (0.3s)
653 88   (0.3s)
659 88   (0.3s)
661 88   (0.3s)
673 88   (0.3s)
677 88   (0.3s)
683 88   (0.3s)
691 88   (0.3s)
701 88   (0.3s)
709 88   (0.3s)
719 88   (0.3s)
727 88   (0.3s)
733 88   (0.3s)
739 88   (0.3s)
743 88   (0.3s)
751 88   (0.3s)
757 88   (0.3s)
761 88   (0.3s)
769 88   (0.3s)
773 88   (0.3s)
787 88   (0.3s)
797 88   (0.3s)
809 88   (0.3s)
811 88   (0.3s)
821 88   (0.3s)
823 88   (0.3s)
827 88   (0.3s)
829 88   (0.3s)
839 88   (0.3s)
853 88   (0.3s)
857 88   (0.3s)
859 88   (0.3s)
863 88   (0.3s)
877 88   (0.3s)
881 88   (0.3s)
883 88   (0.3s)
887 88   (0.3s)
907 88   (0.3s)
911 88   (0.3s)
919 88   (0.3s)
929 88   (0.3s)
937 88   (0.3s)
941 88   (0.3s)
947 88   (0.3s)
953 88   (0.3s)
967 88   (0.3s)
971 88   (0.3s)
977 88   (0.3s)
983 88   (0.3s)
991 88   (0.3s)
997 88   (0.3s)
1009 88   (0.3s)
1013 88   (0.3s)
1019 88   (0.3s)
1021 88   (0.3s)
1031 88   (0.3s)
1033 88   (0.3s)
1039 88   (0.3s)
1049 88   (0.3s)
1051 88   (0.3s)
1061 88   (0.3s)
1063 88   (0.3s)
1069 88   (0.3s)
1087 88   (0.3s)
1091 88   (0.3s)
1093 88   (0.3s)
1097 88   (0.3s)
1103 88   (0.3s)
1109 88   (0.3s)
1117 88   (0.3s)
1123 88   (0.3s)
1129 88   (0.3s)
1151 88   (0.3s)
1153 88   (0.3s)
1163 88   (0.3s)
1171 88   (0.3s)
1181 88   (0.3s)
1187 88   (0.3s)
1193 88   (0.3s)
1201 88   (0.3s)
1213 88   (0.3s)
1217 88   (0.3s)
1223 88   (0.3s)
1229 88   (0.3s)
1231 88   (0.3s)
1237 88   (0.3s)
1249 88   (0.3s)
1259 88   (0.3s)
1277 88   (0.3s)
1279 88   (0.3s)
1283 88   (0.3s)
1289 88   (0.3s)
1291 88   (0.3s)
1297 88   (0.3s)
1301 88   (0.3s)
1303 88   (0.3s)
1307 88   (0.3s)
1319 88   (0.3s)
1321 88   (0.3s)
1327 88   (0.3s)
1361 88   (0.3s)
1367 88   (0.3s)
1373 88   (0.3s)
1381 88   (0.3s)
1399 88   (0.3s)
1409 88   (0.3s)
1423 88   (0.3s)
1427 88   (0.3s)
1429 88   (0.3s)
1433 88   (0.3s)
1439 88   (0.3s)
1447 88   (0.3s)
1451 88   (0.3s)
1453 88   (0.3s)
1459 88   (0.3s)
1471 88   (0.3s)
1481 88   (0.3s)
1483 88   (0.3s)
1487 88   (0.3s)
1489 88   (0.3s)
1493 88   (0.3s)
1499 88   (0.3s)
1511 88   (0.3s)
1523 88   (0.3s)
1531 88   (0.3s)
1543 88   (0.3s)
1549 88   (0.3s)
1553 88   (0.3s)
1559 88   (0.3s)
1567 88   (0.3s)
1571 88   (0.3s)
1579 88   (0.3s)
1583 88   (0.3s)
1597 88   (0.3s)
1601 88   (0.3s)
1607 88   (0.3s)
1609 88   (0.3s)
1613 88   (0.3s)
1619 88   (0.3s)
1621 88   (0.3s)
1627 88   (0.3s)
1637 88   (0.3s)
1657 88   (0.3s)
1663 88   (0.3s)
1667 88   (0.3s)
1669 88   (0.3s)
1693 88   (0.3s)
1697 88   (0.3s)
1699 88   (0.3s)
1709 88   (0.3s)
1721 88   (0.3s)
1723 88   (0.3s)
1733 88   (0.3s)
1741 88   (0.3s)
1747 88   (0.3s)
1753 88   (0.3s)
