# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.3s shard=0/24
2 229   (54.6s)
547 501   (141.5s)
691 501   (141.4s)
2147483587 501   (143.0s)
2147483029 501   (141.6s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.1s shard=5/24
13 501   (143.6s)
113 501   (142.8s)
251 501   (141.9s)
397 501   (142.7s)
557 501   (142.2s)
701 501   (141.9s)
2147483579 501   (143.0s)
2147482951 501   (142.1s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.1s shard=6/24
17 501   (141.9s)
127 501   (140.9s)
257 501   (141.3s)
401 501   (140.4s)
563 501   (140.7s)
709 501   (140.1s)
2147483563 501   (141.6s)
2147482949 501   (141.3s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=233.7s shard=7/24
19 501   (144.2s)
131 501   (143.5s)
263 501   (142.8s)
409 501   (142.1s)
569 501   (142.4s)
719 501   (142.4s)
2147483549 501   (143.3s)
2147482943 501   (142.4s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.8s shard=8/24
23 501   (143.9s)
137 501   (143.0s)
269 501   (143.7s)
419 501   (143.3s)
571 501   (142.3s)
727 501   (142.3s)
2147483543 501   (143.5s)
2147482937 501   (142.6s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=234.8s shard=9/24
29 501   (142.7s)
139 501   (140.9s)
271 501   (141.5s)
421 501   (141.0s)
577 501   (140.5s)
733 501   (140.8s)
2147483497 501   (141.8s)
2147482921 501   (141.2s)
